SolucionReferencia,Solucion,Ruta,Saltos,Latencia,Perdida,Jitter,AnchoBanda,Seed,SeedsEncontrada
12,10,52->40->6->5->96,4,71.88285198784207,0.0065173839518483,7.805829597834694,437.82494266122296,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
13,20,52->18->0->13->5->96,5,72.8039050971172,0.0083967940847501,6.181263242014537,132.02530363108585,2,"2,4,5,7,8,9,11,12,13,14,15,18,21,23,24,25,26,27,28,29"
14,25,52->18->7->13->5->96,5,74.9922787761628,0.0102290171823732,5.01415986307217,132.02530363108585,2,"2,3,6,7,8,10,11,12,14,15,17,18,21,22,23,27,28,30"
15,18,52->19->45->0->4->96,5,75.30522030674594,0.0082149389092333,7.385226162925992,195.0598831034584,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
16,17,52->18->0->5->96,4,75.60181910067071,0.005578090475268,3.8980187632171095,191.39825806115925,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
17,1,52->18->0->96,3,76.00926963713992,0.0018911284788719,5.482324348171019,191.39825806115925,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
18,11,52->19->9->4->96,4,76.10462171210511,0.0074882317174171,5.373128045900009,237.02158543918435,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
19,6,52->19->5->96,3,78.48369407641349,0.0051094211668836,4.774695711559714,237.02158543918435,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
20,7,52->18->7->5->96,4,80.10943367094109,0.0079254339601771,3.3074576583270625,191.39825806115925,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
21,9,52->19->26->5->96,4,85.33211317188263,0.0057636462204131,3.3698800742141355,129.61621770616708,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
22,21,52->19->18->0->96,4,93.04466038046326,0.00462457596528,6.921470991165626,237.02158543918435,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
23,14,52->19->18->7->5->96,5,97.14482441426442,0.0106423557371957,4.74660430132167,237.02158543918435,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,27,28,29,30"
24,5,52->18->7->39->5->96,5,97.24147504105616,0.0094483477389912,2.799579872320858,191.39825806115925,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
25,22,52->19->45->0->5->96,5,101.70661237669634,0.0092207665572692,4.134918756548508,195.0598831034584,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
26,8,52->19->22->96,3,104.0888706151946,0.0048824634410687,6.668926761412449,237.02158543918435,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
27,24,52->19->9->4->5->96,5,105.86491211490254,0.0082336050958513,4.141683309716964,202.8870475816289,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
28,31,52->19->18->7->39->5->96,6,114.2768657843795,0.0121610988238543,4.238726515315466,237.02158543918435,3,"3,4,5,6,7,8,9,10,11,12,15,17,18,20,23,24,27,28"
29,15,52->40->6->18->0->96,5,114.50149034138984,0.0058525566157039,13.434624384500104,444.7787074988309,1,"1,3,5,6,7,8,9,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
30,16,52->18->50->55->5->96,5,115.51562361105816,0.0082035489912309,3.0303458827448297,191.39825806115925,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
31,12,52->40->6->0->96,4,117.8183757689714,0.0065034124565241,9.48272492796548,329.225065645651,1,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
32,23,52->40->24->7->18->0->96,6,123.43456518764305,0.0063524638055224,14.784011827385644,502.5541629259638,3,"3,4,8,9,12,15,19,20,22,24,25,26,27,30"
33,30,52->40->24->7->3->0->96,6,126.86134130128086,0.0063660402246655,14.256351135371848,508.4479901465887,1,"1,2,3,4,6,7,8,9,10,11,12,14,15,16,17,19,20,21,22,23,25,26,28,29,30"
34,33,52->40->24->22->19->18->0->96,7,129.84967903920108,0.0092464828424889,13.48844256489415,461.04803269298617,3,"3,10,11,15,17,21,24,27"
35,27,52->19->18->50->55->5->96,6,132.55101435438152,0.0109197091150328,4.469492525739437,237.02158543918435,1,"1,2,3,4,6,7,9,10,13,14,15,16,17,18,20,21,22,23,25,26,27,28,29"
36,29,52->19->60->33->54->18->0->96,7,145.69595689863343,0.0039800707773183,12.042140286812815,237.02158543918435,1,"1,3,6,7,8,10,14,18,21,23,24,27"
37,30,52->40->6->19->18->0->96,6,147.20146829451164,0.0089616611106376,13.282381852089284,444.7787074988309,5,"5,10,14,19,20,24,27,28,29"
38,28,52->19->60->33->54->0->96,6,154.38727453181798,0.0043924035876907,10.814252083390643,237.02158543918435,1,"1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,23,24,25,26,28,29,30"
39,33,52->40->68->37->87->0->5->96,7,189.22804441449435,0.013338754703343,7.745684082735371,259.2512267791424,4,"4,9,17,20,22,24,28"
40,31,52->40->68->37->27->8->3->0->96,8,223.5914922931132,0.0095393914705063,13.843144049123008,487.2560359772219,8,"8,12,15,19,21,26,30"
